id,class
TEST_000,False
TEST_001,True
TEST_002,True
TEST_003,True
TEST_004,False
TEST_005,True
TEST_006,True
TEST_007,True
TEST_008,False
TEST_009,False
TEST_010,True
TEST_011,False
TEST_012,True
TEST_013,False
TEST_014,True
TEST_015,True
TEST_016,False
TEST_017,True
TEST_018,True
TEST_019,True
TEST_020,True
TEST_021,True
TEST_022,True
TEST_023,False
TEST_024,True
TEST_025,True
TEST_026,True
TEST_027,False
TEST_028,False
TEST_029,True
TEST_030,False
TEST_031,False
TEST_032,True
TEST_033,True
TEST_034,False
TEST_035,True
TEST_036,True
TEST_037,True
TEST_038,True
TEST_039,True
TEST_040,False
TEST_041,True
TEST_042,True
TEST_043,True
TEST_044,True
TEST_045,True
TEST_046,True
TEST_047,True
TEST_048,True
TEST_049,True
TEST_050,False
TEST_051,True
TEST_052,False
TEST_053,True
TEST_054,True
TEST_055,True
TEST_056,True
TEST_057,False
TEST_058,True
TEST_059,True
TEST_060,False
TEST_061,True
TEST_062,True
TEST_063,True
TEST_064,True
TEST_065,False
TEST_066,True
TEST_067,False
TEST_068,False
TEST_069,True
TEST_070,True
TEST_071,True
TEST_072,False
TEST_073,False
TEST_074,True
TEST_075,True
TEST_076,True
TEST_077,True
TEST_078,True
TEST_079,True
TEST_080,True
TEST_081,True
TEST_082,False
TEST_083,True
TEST_084,True
TEST_085,True
TEST_086,True
TEST_087,True
TEST_088,True
TEST_089,False
TEST_090,True
TEST_091,True
TEST_092,True
TEST_093,True
TEST_094,True
TEST_095,True
TEST_096,False
TEST_097,True
TEST_098,False
TEST_099,True
TEST_100,False
TEST_101,True
TEST_102,True
TEST_103,True
TEST_104,False
TEST_105,False
TEST_106,True
TEST_107,True
TEST_108,False
TEST_109,True
TEST_110,True
TEST_111,True
TEST_112,True
TEST_113,True
TEST_114,True
TEST_115,False
TEST_116,False
TEST_117,True
TEST_118,True
TEST_119,True
TEST_120,False
TEST_121,True
TEST_122,True
TEST_123,True
TEST_124,True
TEST_125,True
TEST_126,True
TEST_127,True
TEST_128,False
TEST_129,True
TEST_130,False
TEST_131,False
TEST_132,True
TEST_133,True
TEST_134,True
TEST_135,True
TEST_136,False
TEST_137,False
TEST_138,True
TEST_139,False
TEST_140,False
TEST_141,False
TEST_142,True
TEST_143,True
TEST_144,True
TEST_145,True
TEST_146,False
TEST_147,True
TEST_148,True
TEST_149,False
TEST_150,False
TEST_151,True
TEST_152,False
TEST_153,True
TEST_154,True
TEST_155,False
TEST_156,False
TEST_157,True
TEST_158,True
TEST_159,False
TEST_160,True
TEST_161,True
TEST_162,True
TEST_163,True
TEST_164,False
TEST_165,False
TEST_166,True
TEST_167,True
TEST_168,True
TEST_169,False
TEST_170,True
TEST_171,True
TEST_172,True
TEST_173,True
TEST_174,True
