iter	Passed	Remaining
0	0	446
1	0	421
2	1	373
3	1	380
4	1	348
5	2	333
6	2	340
7	2	328
8	2	312
9	3	310
10	3	300
11	3	291
12	3	284
13	3	281
14	4	276
15	4	272
16	4	268
17	4	266
18	5	262
19	5	261
20	5	264
21	6	268
22	6	266
23	6	268
24	6	272
25	7	270
26	7	274
27	7	271
28	8	271
29	8	270
30	8	271
31	8	269
32	9	269
33	9	268
34	9	266
35	9	267
36	10	265
37	10	264
38	10	263
39	10	262
40	11	262
41	11	263
42	11	261
43	12	263
44	12	263
45	12	261
46	12	259
47	13	263
48	13	268
49	14	266
50	14	265
51	14	264
52	14	262
53	14	261
54	15	261
55	15	259
56	15	258
57	15	258
58	16	258
59	16	259
60	16	258
61	17	257
62	17	256
63	17	255
64	17	254
65	17	254
66	18	253
67	18	252
68	18	250
69	18	251
70	19	250
71	19	249
72	19	249
73	19	248
74	20	248
75	20	247
76	20	246
77	20	245
78	21	246
79	21	246
80	21	245
81	21	245
82	22	244
83	22	243
84	22	242
85	22	242
86	23	241
87	23	240
88	23	240
89	23	240
90	24	240
91	24	240
92	24	239
93	24	239
94	25	239
95	25	238
96	25	237
97	25	237
98	26	237
99	26	238
100	26	237
101	26	237
102	27	236
103	27	237
104	27	237
105	28	237
106	28	236
107	28	236
108	28	235
109	29	235
110	29	234
111	29	235
112	29	234
113	30	234
114	30	233
115	30	232
116	30	232
117	31	235
118	31	235
119	32	235
120	32	235
121	32	234
122	32	234
123	33	235
124	33	235
125	34	238
126	34	238
127	34	238
128	35	238
129	35	239
130	36	239
131	36	239
132	36	238
133	36	238
134	37	238
135	37	239
136	37	238
137	38	238
138	38	238
139	38	238
140	38	237
141	39	237
142	39	236
143	39	236
144	39	235
145	40	238
146	41	238
147	41	238
148	41	238
149	42	238
150	42	238
151	42	237
152	42	237
153	43	237
154	43	237
155	43	236
156	44	236
157	44	236
158	44	235
159	44	235
160	45	234
161	45	234
162	45	234
163	45	234
164	46	233
165	46	233
166	46	232
167	47	234
168	47	233
169	47	233
170	48	233
171	48	233
172	48	233
173	49	233
174	49	233
175	49	233
176	50	233
177	50	233
178	51	235
179	52	237
180	52	238
181	53	238
182	53	238
183	53	238
184	54	238
185	54	238
186	54	238
187	55	238
188	55	238
189	56	239
190	56	238
191	56	238
192	57	239
193	57	239
194	57	239
195	58	239
196	58	239
197	59	239
198	59	238
199	59	237
200	59	237
201	59	236
202	60	236
203	60	236
204	60	236
205	61	235
206	61	236
207	61	235
208	62	235
209	62	235
210	62	235
211	63	235
212	63	234
213	63	234
214	63	233
215	64	233
216	64	232
217	64	232
218	64	231
219	65	231
220	65	230
221	65	230
222	65	229
223	66	229
224	66	228
225	66	228
226	66	227
227	67	227
228	67	227
229	67	226
230	67	226
231	68	225
232	68	225
233	68	224
234	68	224
235	69	224
236	69	224
237	69	223
238	70	223
239	70	222
240	70	222
241	70	221
242	71	221
243	71	221
244	71	221
245	72	220
246	72	220
247	72	220
248	72	219
249	73	219
250	73	219
251	73	218
252	73	218
253	74	218
254	74	217
255	74	217
256	74	216
257	75	216
258	75	215
259	75	215
260	75	214
261	76	214
262	76	213
263	76	213
264	76	213
265	77	212
266	77	212
267	77	211
268	77	211
269	78	210
270	78	210
271	78	209
272	78	209
273	78	209
274	79	209
275	79	209
276	80	209
277	80	208
278	80	208
279	80	208
280	81	207
281	81	207
282	81	207
283	81	206
284	82	206
285	82	205
286	82	205
287	83	205
288	83	204
289	83	204
290	83	204
291	84	204
292	84	204
293	84	203
294	85	203
295	85	202
296	85	202
297	85	201
298	85	201
299	86	201
300	86	200
301	86	200
302	86	199
303	87	199
304	87	199
305	87	199
306	88	198
307	88	198
308	88	198
309	88	197
310	89	197
311	89	197
312	89	196
313	89	196
314	90	195
315	90	195
316	90	194
317	90	194
318	90	194
319	91	194
320	91	193
321	91	193
322	92	193
323	92	192
324	92	192
325	93	192
326	93	192
327	93	192
328	94	191
329	94	191
330	94	191
331	94	190
332	95	190
333	95	190
334	95	189
335	95	189
336	96	189
337	96	188
338	96	188
339	96	187
340	97	187
341	97	187
342	97	186
343	97	186
344	98	186
345	98	185
346	98	185
347	98	185
348	99	185
349	99	184
350	99	184
351	100	185
352	100	184
353	101	184
354	101	184
355	101	183
356	101	183
357	102	183
358	102	182
359	102	182
360	103	182
361	103	182
362	103	181
363	104	181
364	104	181
365	104	180
366	104	180
367	104	180
368	105	179
369	105	179
370	105	179
